Activity ID,Activity Date,Advisor ID,Lead AM,Activity Type,Description,Product
41d8fe90-5506-4d0a-9c57-095252db5f6e,2024-09-15,SalA003,Sales AM 1,Outbound Call,Meeting related to ETF,Fixed Income
915b5bf6-313b-4684-b59a-161d79339366,2024-11-03,SalA003,Sales AM 1,Inbound Call,Webinar feedback collection,ESG
6b2698a8-9400-42b6-bb9f-e61bb350c236,2024-11-13,SalA003,Sales AM 1,Meeting,Strategy meeting regarding Global Equity,ESG
8a5a0a7b-9a4b-4414-97d7-9cba10971938,2024-07-16,SalA004,Sales AM 1,Outbound Call,Call to discuss quarterly performance,Fixed Income
4e79b6bb-21a5-45cf-8370-fb9730691947,2024-08-19,SalA004,Sales AM 1,Meeting,Normal phone conversation,ESG
ea1a0e72-1323-4291-99a0-03630f45cbda,2024-07-27,SalA004,Sales AM 1,Meeting,Analysis of Emerging Markets Fund,ETF
5eb8bc49-3365-46f9-826a-51c94a550ebb,2024-07-21,SalA004,Sales AM 1,Outbound Call,Call to discuss portfolio diversification,Global Equity Fund
ce9ea888-0ae7-420c-9dca-cf1babb851e7,2024-07-23,SalA004,Sales AM 1,Outbound Call,Webinar feedback collection,ETF
cac1edfd-a311-4938-a8b9-03d24792e4ed,2024-12-17,SalA004,Sales AM 1,Voicemail,Webinar feedback collection,Fixed Income
c65ab473-d2a7-487e-9388-16564a6ba6c8,2024-12-24,SalA004,Sales AM 1,Inbound Call,Call to discuss quarterly performance,ETF
d5f04420-cbc6-4d05-99ec-923d97b72e80,2024-10-29,SalA004,Sales AM 1,Inbound Call,Presentation on Real Estate Fund,ESG
1d2a4ec3-578b-4410-aa88-e64ad2644e16,2024-06-02,SalA004,Sales AM 1,Voicemail,Call to discuss portfolio diversification,ESG
1f49c9ea-97a7-43c6-9a16-930d35f65971,2024-07-05,SalA004,Sales AM 1,Email,Presentation on Real Estate Fund,Global Equity Fund
f1ef9d45-2b76-448f-b4ae-11cf4fea1683,2024-09-04,SalA004,Sales AM 1,Voicemail,Voicemail regarding market trends,ESG
88c69af5-5e9c-4265-95d4-455fe0f54d3d,2024-07-13,SalA004,Sales AM 1,Email,Normal phone conversation,ETF
820a6a98-0950-4cc0-95ae-6001fce69227,2024-08-10,SalA004,Sales AM 1,Voicemail,Normal phone conversation,Global Equity Fund
6b58016c-e43f-4ad0-bafd-081875e39f49,2024-12-21,SalA004,Sales AM 1,Inbound Call,Presentation on Real Estate Fund,Real Estate Fund
20a18212-d004-4a72-91cf-4489b46aa79d,2024-11-21,SalA004,Sales AM 1,Outbound Call,Meeting related to ETF,Real Estate Fund
f60d0670-b99b-470d-906f-e74706a1e320,2024-09-29,SalA004,Sales AM 1,Voicemail,Voicemail regarding market trends,Real Estate Fund
7a2574cd-8b67-4d8d-aafb-57066a694461,2024-09-21,SalA004,Sales AM 1,Inbound Call,Webinar feedback collection,ESG
92033030-743e-4f98-bae0-9e87447a83d8,2024-11-27,SalA004,Sales AM 1,Voicemail,Webinar feedback collection,Global Equity Fund
fe52786d-ce6e-4504-a492-751dc4516d2f,2024-11-19,SalA004,Sales AM 1,Voicemail,Normal phone conversation,ETF
1e1a3acc-9887-44f8-b19d-448916a3abfe,2024-06-22,SalA004,Sales AM 1,Meeting,Normal phone conversation,Fixed Income
6eb2c910-dcba-4531-b17d-a24c3f163fab,2025-01-02,SalA005,Sales AM 1,Outbound Call,Voicemail regarding market trends,Fixed Income
078e6034-ec04-4bba-8a50-50d5e99cfdea,2025-01-04,SalA005,Sales AM 1,Meeting,Email follow-up on investment ideas,Global Equity Fund
a94288b2-ecf3-4d31-9050-ead03816c821,2024-06-02,SalA005,Sales AM 1,Voicemail,Discussion on upcoming product launches,Real Estate Fund
1d5eeba8-1fcb-427d-8c6e-efaab56843d7,2024-11-14,SalA005,Sales AM 1,Outbound Call,Discussion on upcoming product launches,Fixed Income
43361780-5989-4cd2-a51e-320a74e97ac5,2024-08-15,SalA005,Sales AM 1,Outbound Call,Email follow-up on investment ideas,Global Equity Fund
87209270-b49c-4b94-8653-cb3d633d38f6,2024-07-25,SalA005,Sales AM 1,Outbound Call,Normal phone conversation,Real Estate Fund
1b304378-955d-4180-bcbf-8fd6dec41da2,2024-09-24,SalA005,Sales AM 1,Voicemail,Webinar feedback collection,Fixed Income
6392a32a-5fbd-4df3-a476-63b69a59cafa,2024-11-18,SalA005,Sales AM 1,Inbound Call,Email follow-up on investment ideas,Fixed Income
f4062144-c605-4179-b01c-37c71df3d0d0,2024-07-30,SalA005,Sales AM 1,Meeting,Email follow-up on investment ideas,Global Equity Fund
93e71518-027f-470f-8ac0-ca911668acf3,2024-11-06,SalA005,Sales AM 1,Email,Email follow-up on investment ideas,ESG
9d52c9ff-9db9-4197-954a-ce8ad3e9a8c1,2024-07-14,SalA005,Sales AM 1,Voicemail,Discussion on ESG strategies,ESG
594fe2e0-4620-46ca-be6e-26aa77372fcd,2024-07-30,SalA005,Sales AM 1,Meeting,Normal phone conversation,ESG
4c890b95-db33-4c80-bfbe-c0dc5db8ebe1,2024-08-27,SalA005,Sales AM 1,Outbound Call,Call to discuss quarterly performance,Fixed Income
7812d831-7840-4403-8057-c2dd7012c517,2024-11-01,SalA005,Sales AM 1,Meeting,Voicemail regarding market trends,Real Estate Fund
5495a345-5f47-477d-ae1f-28ce3fa95134,2024-08-22,SalA005,Sales AM 1,Outbound Call,Call to discuss portfolio diversification,Fixed Income
162bdc76-b73a-4e0e-b142-83f85a6578ec,2024-08-05,SalA006,Sales AM 1,Meeting,Discussion on upcoming product launches,Global Equity Fund
5719679c-f65e-40e1-96b9-8780cbbfb43d,2024-11-03,SalA006,Sales AM 1,Inbound Call,Analysis of Emerging Markets Fund,Global Equity Fund
fe7c01c4-5475-4f88-935c-b03e9e649aa3,2024-08-19,SalA006,Sales AM 1,Email,Normal phone conversation,Fixed Income
8f09db14-0928-4e95-b1ba-5cf60cac64de,2024-09-12,SalA006,Sales AM 1,Meeting,Meeting related to ETF,ETF
97d706a5-df73-450f-8c6e-86df7e4f46b8,2024-08-13,SalA006,Sales AM 1,Meeting,Webinar feedback collection,ESG
08f8efb2-961e-4a1a-a0aa-e1065761405c,2024-10-15,SalA006,Sales AM 1,Outbound Call,Normal phone conversation,Global Equity Fund
29d10ba1-c91e-4970-b753-9853a7ec2dac,2024-11-01,SalA006,Sales AM 1,Inbound Call,Analysis of Emerging Markets Fund,Global Equity Fund
d5b2f0a3-f594-4829-9712-eec50d7a4016,2024-07-29,SalA006,Sales AM 1,Voicemail,Call to discuss portfolio diversification,Fixed Income
03b87110-b780-42e0-ba00-bd549be7d4f0,2024-08-28,SalA006,Sales AM 1,Email,Call to discuss quarterly performance,Global Equity Fund
583b1069-c095-4dc9-8a3f-fe3cbef38b6f,2024-08-17,SalA006,Sales AM 1,Email,Voicemail regarding market trends,Real Estate Fund
fede80c6-ea54-4d7c-93fd-e6e9babfc19d,2024-10-13,SalA006,Sales AM 1,Outbound Call,Voicemail regarding market trends,Global Equity Fund
8ff772e5-6113-400d-8466-f50699944eb5,2024-11-14,SalA006,Sales AM 1,Voicemail,Webinar feedback collection,Real Estate Fund
be1c29ff-4197-4d65-b6e9-595306c35e9c,2024-08-17,SalA006,Sales AM 1,Outbound Call,Email follow-up on investment ideas,Real Estate Fund
c90d1396-b92d-4449-8143-e3ecd46c34d9,2024-06-11,SalA007,Sales AM 1,Outbound Call,Normal phone conversation,ESG
a567e06e-b505-4e44-8303-cceed79167d4,2024-07-30,SalA007,Sales AM 1,Inbound Call,Analysis of Emerging Markets Fund,Fixed Income
9dd9086e-e247-4baa-82fe-3b8cc1aec74b,2024-08-05,SalA007,Sales AM 1,Voicemail,Analysis of Emerging Markets Fund,Global Equity Fund
7d76ae38-6d5f-4fc6-8d17-14d477c00bca,2024-07-08,SalA007,Sales AM 1,Meeting,Presentation on Real Estate Fund,Fixed Income
feaa9fea-22f3-4263-bcdc-1c19e57ed9da,2024-06-27,SalA007,Sales AM 1,Inbound Call,Voicemail regarding market trends,ETF
42dd2be7-5c63-437b-84b1-ee3446d86ff4,2024-10-07,SalA007,Sales AM 1,Meeting,Call to discuss portfolio diversification,ETF
bf51a370-05f7-482e-af74-446619227783,2024-09-23,SalA007,Sales AM 1,Email,Follow-up on Fixed Income opportunities,Fixed Income
2812bc58-8101-46a8-8db2-0b48114f9b6f,2024-12-07,SalA007,Sales AM 1,Voicemail,Call to discuss quarterly performance,Real Estate Fund
1f5020ed-db1e-46f1-9967-62077a1b26d6,2024-10-18,SalA007,Sales AM 1,Email,Follow-up on Fixed Income opportunities,Fixed Income
f9efaab2-fb49-4c2a-a3e7-ba1d4c0af446,2024-07-24,SalA007,Sales AM 1,Outbound Call,Presentation on Real Estate Fund,Real Estate Fund
63bce121-8223-4a3a-add2-9b45b266002d,2024-10-07,SalA007,Sales AM 1,Email,Normal phone conversation,Global Equity Fund
63e51dd7-d204-44fc-9378-f2bad407c60a,2024-11-10,SalA007,Sales AM 1,Outbound Call,Meeting related to ETF,ETF
0bf00daa-3d34-48f7-b0c8-6ac85b537bc3,2024-07-15,SalA007,Sales AM 1,Email,Analysis of Emerging Markets Fund,ESG
1b727110-96f5-47ab-8417-5f59dba326e4,2024-10-27,SalA007,Sales AM 1,Voicemail,Analysis of Emerging Markets Fund,Global Equity Fund
6db4a8bb-30ba-4e0f-9935-68d511fcee16,2024-07-01,SalA007,Sales AM 1,Email,Email follow-up on investment ideas,ESG
684f1d9d-d6e8-46f1-a388-621e1799fba3,2024-06-23,SalA007,Sales AM 1,Outbound Call,Discussion on ESG strategies,ETF
1eebd1ed-dde5-4a51-99f6-2fbb3c27fe0f,2024-07-23,SalA007,Sales AM 1,Voicemail,Call to discuss portfolio diversification,Real Estate Fund
fb9a7133-d916-43b1-aae3-824b0b8ea398,2024-10-21,SalA007,Sales AM 1,Inbound Call,Normal phone conversation,Fixed Income
3c502cc5-0a4f-4227-8613-73931fee5a85,2024-09-09,SalA007,Sales AM 1,Meeting,Voicemail regarding market trends,ESG
4af7ede9-7b68-4a7d-b783-8b3789cbea67,2024-10-02,SalA007,Sales AM 1,Meeting,Analysis of Emerging Markets Fund,Global Equity Fund
87309223-9a46-4986-bede-5b5a405faf66,2024-10-29,SalA007,Sales AM 1,Voicemail,Call to discuss portfolio diversification,ETF
8ee764b9-7ff3-4971-ac23-3880d000e687,2024-08-13,SalA007,Sales AM 1,Outbound Call,Voicemail regarding market trends,Real Estate Fund
805084bc-a2f8-4a18-b51c-e600ca8d5c5d,2024-09-17,SalA007,Sales AM 1,Inbound Call,Email follow-up on investment ideas,Fixed Income
66e60840-de46-4b50-ac0c-8e884aa52378,2024-08-23,SalA007,Sales AM 1,Inbound Call,Call to discuss quarterly performance,Fixed Income
51a58026-ea6b-49de-9db1-8c94ecfdd6d2,2024-07-20,SalA007,Sales AM 1,Email,Presentation on Real Estate Fund,ESG
9364a6b6-ac56-4e1b-8d39-90c43a88e10b,2024-08-12,SalA007,Sales AM 1,Outbound Call,Follow-up on Fixed Income opportunities,Real Estate Fund
bba9a503-b2b0-4c3a-aa45-721bb7ae3c3f,2024-12-24,SalA007,Sales AM 1,Voicemail,Presentation on Real Estate Fund,Fixed Income
0174b825-ba93-4b7f-a2bf-059b610ea596,2024-11-25,SalA008,Sales AM 1,Inbound Call,Discussion on upcoming product launches,ESG
515314c3-199e-4be3-9e02-3933f9d40cc8,2024-11-15,SalA008,Sales AM 1,Email,Analysis of Emerging Markets Fund,Fixed Income
404c707b-1503-442c-996c-7f017f10d4a3,2024-09-03,SalA008,Sales AM 1,Email,Email follow-up on investment ideas,Global Equity Fund
1420b6e6-73af-4941-b4eb-64b88fd7e1ad,2024-11-03,SalA008,Sales AM 1,Voicemail,Presentation on Real Estate Fund,Real Estate Fund
9cccf858-abca-4193-b900-6a969d20758e,2024-11-10,SalA008,Sales AM 1,Meeting,Meeting related to ETF,ETF
3070ed52-b8df-482b-b090-0eb4bb7c85d6,2024-08-19,SalA008,Sales AM 1,Email,Normal phone conversation,Real Estate Fund
fbb0f26b-8022-4f93-bb9e-80093eb68dc2,2024-12-13,SalA008,Sales AM 1,Outbound Call,Discussion on upcoming product launches,ETF
e2197506-192c-4f13-9f07-60b83424ef5d,2024-07-21,SalA008,Sales AM 1,Email,Call to discuss quarterly performance,Real Estate Fund
a45cf462-6c77-44fd-ba2f-dfcae4d57739,2024-12-28,SalA008,Sales AM 1,Meeting,Discussion on upcoming product launches,Real Estate Fund
88674a04-1ef0-4d23-b704-128590e6d518,2024-08-21,SalA008,Sales AM 1,Email,Meeting related to ETF,ETF
0871fa57-7135-4541-b0cb-c9b9e2f1eb84,2024-09-20,SalA008,Sales AM 1,Inbound Call,Presentation on Real Estate Fund,Real Estate Fund
d04d9d07-9f1c-4ccb-818c-7e0f9ad04721,2024-08-12,SalA009,Sales AM 1,Email,Meeting related to ETF,Fixed Income
1b398234-9875-4bde-b9a8-05e89bc31632,2024-11-11,SalA009,Sales AM 1,Email,Analysis of Emerging Markets Fund,Global Equity Fund
965449ad-65f2-4ac4-aad9-5cec862b2dc6,2024-12-19,SalA009,Sales AM 1,Inbound Call,Email follow-up on investment ideas,ETF
9a3a7430-1507-4089-99ab-f753c33430d5,2024-06-23,SalA009,Sales AM 1,Inbound Call,Discussion on upcoming product launches,Fixed Income
502ccda1-2f1e-4c19-b185-fb552dc116f0,2024-07-11,SalA009,Sales AM 1,Meeting,Follow-up on Fixed Income opportunities,Global Equity Fund
12a03910-48a9-4331-9c84-129e32a31197,2024-10-09,SalA009,Sales AM 1,Outbound Call,Follow-up on Fixed Income opportunities,Fixed Income
77bcc548-1f42-4ec0-83a9-c5c222d6eb39,2024-07-28,SalA009,Sales AM 1,Inbound Call,Analysis of Emerging Markets Fund,ETF
d8ba60b9-0acf-40ce-9da0-8c8a1adb8f32,2024-06-12,SalA009,Sales AM 1,Email,Discussion on upcoming product launches,ETF
0a982dd2-dafa-4544-9c7c-c15d4dee9b61,2024-07-27,SalA009,Sales AM 1,Email,Strategy meeting regarding Global Equity,Fixed Income
d4b23e7b-751a-425f-a93b-2e6e2a337f78,2024-11-21,SalA009,Sales AM 1,Inbound Call,Call to discuss quarterly performance,ETF
c1dc9090-eadb-4aa8-b785-a7a78e7ba442,2024-09-22,SalA009,Sales AM 1,Outbound Call,Presentation on Real Estate Fund,ETF
7cf06e32-b194-4429-83d5-ea62dcf83e99,2024-10-27,SalA009,Sales AM 1,Inbound Call,Call to discuss portfolio diversification,Fixed Income
2be36ce0-db95-427f-baac-17d87bf11164,2024-11-25,SalA009,Sales AM 1,Inbound Call,Call to discuss portfolio diversification,Fixed Income
c5094034-db6c-4827-9b59-dd0f4aea50f8,2024-06-11,SalA009,Sales AM 1,Meeting,Analysis of Emerging Markets Fund,Global Equity Fund
77d63a7c-326c-451c-b587-b3f3a979e846,2024-10-03,SalA009,Sales AM 1,Email,Call to discuss portfolio diversification,Fixed Income
e3245e12-3e44-492d-ba80-1b294b1e33c0,2024-09-24,SalA009,Sales AM 1,Email,Analysis of Emerging Markets Fund,Real Estate Fund
e7632572-b1b7-4ec1-bd0b-70a31b872fd9,2024-10-26,SalA009,Sales AM 1,Outbound Call,Follow-up on Fixed Income opportunities,Real Estate Fund
12a9662e-9e22-4eb9-9970-baf8a22c959d,2024-10-23,SalA009,Sales AM 1,Email,Discussion on upcoming product launches,ETF
da6188dc-e2fc-4c10-8634-9d841de68376,2024-07-01,SalA009,Sales AM 1,Meeting,Call to discuss portfolio diversification,ETF
8d4ee06e-6716-4945-9037-5476a11b8c57,2025-01-06,SalA009,Sales AM 1,Voicemail,Discussion on ESG strategies,Fixed Income
080e846a-8aa3-4cfd-9057-26d0dc312c2e,2024-07-04,SalA009,Sales AM 1,Outbound Call,Presentation on Real Estate Fund,Global Equity Fund
3dd4363c-333a-4ccd-b5a1-27d77e40680b,2024-09-29,SalA009,Sales AM 1,Inbound Call,Meeting related to ETF,ESG
fff3ec57-bd3c-4a5d-9f29-9175f20eedd0,2024-06-06,SalA009,Sales AM 1,Meeting,Discussion on upcoming product launches,Real Estate Fund
cc03574b-f2da-43c4-ae7c-296b4bd51b8b,2024-10-17,SalA009,Sales AM 1,Outbound Call,Discussion on ESG strategies,Global Equity Fund
1ff63e2c-4ff5-4a1f-bacc-98f5f05692f7,2024-09-09,SalA010,Sales AM 1,Meeting,Meeting related to ETF,Fixed Income
ccbdd494-2849-43a8-972f-a7168be8b99e,2024-11-06,SalA010,Sales AM 1,Inbound Call,Presentation on Real Estate Fund,ETF
bcedd71e-a0aa-4f34-8ae6-d332735b4714,2024-08-22,SalA010,Sales AM 1,Email,Email follow-up on investment ideas,ETF
56f889de-d9e1-493c-829d-cf88a8f31fb9,2024-10-19,SalA010,Sales AM 1,Voicemail,Discussion on ESG strategies,ETF
6222653b-fdc8-4bc0-947c-102d3824b226,2024-07-08,SalA010,Sales AM 1,Meeting,Call to discuss quarterly performance,ETF
25944ee6-a092-44ed-874c-d8ad80953844,2024-06-23,SalA010,Sales AM 1,Outbound Call,Discussion on upcoming product launches,Global Equity Fund
20f136f8-501c-48ed-8875-f4f2597805b5,2024-10-13,SalA010,Sales AM 1,Meeting,Voicemail regarding market trends,Fixed Income
7fbe15c4-2933-4766-a278-ac0963dbc193,2024-12-29,SalA010,Sales AM 1,Email,Presentation on Real Estate Fund,Fixed Income
81999b98-6705-46db-8764-b215c90cc4a7,2024-10-12,SalA010,Sales AM 1,Outbound Call,Webinar feedback collection,Fixed Income
71043dde-38da-40ea-89bc-7ab6eff2c2cb,2024-07-04,SalA010,Sales AM 1,Inbound Call,Presentation on Real Estate Fund,Real Estate Fund
0a3abda5-abae-46c1-bb62-7e7080a21869,2024-12-22,SalA010,Sales AM 1,Email,Call to discuss portfolio diversification,Real Estate Fund
2ccead8f-8bad-4726-9e75-11e4e52754ec,2024-07-14,SalA010,Sales AM 1,Email,Follow-up on Fixed Income opportunities,ESG
4451cc23-a511-4c15-a8fb-a33d1041a082,2024-10-16,SalA010,Sales AM 1,Email,Webinar feedback collection,ETF
6279f607-d989-4054-a6f4-1f49175fd0c3,2024-07-24,SalA010,Sales AM 1,Voicemail,Presentation on Real Estate Fund,Global Equity Fund
f5f08e93-64f7-4341-9b4f-c739dece0758,2024-09-28,SalA010,Sales AM 1,Outbound Call,Call to discuss quarterly performance,ESG
01c0d31e-bf5a-4ac6-90c3-d125c0c84222,2024-09-07,SalA010,Sales AM 1,Email,Discussion on upcoming product launches,Real Estate Fund
207d73c5-285e-4488-92db-e819017ee7d5,2024-09-06,SalA010,Sales AM 1,Inbound Call,Discussion on ESG strategies,ETF
8a4dd6ec-0eeb-41ef-966c-beef42134803,2024-10-31,SalA010,Sales AM 1,Meeting,Email follow-up on investment ideas,Global Equity Fund
5f32033d-c056-4414-acbb-2024455df7db,2024-09-18,SalA010,Sales AM 1,Outbound Call,Call to discuss quarterly performance,Global Equity Fund
aa935e94-7cc2-4e12-9b83-2abf0c02f594,2024-09-07,SalA010,Sales AM 1,Meeting,Call to discuss quarterly performance,Global Equity Fund
e9c7a780-36c4-4bea-b978-eb2d3f3100c4,2024-10-21,SalA011,Sales AM 1,Inbound Call,Voicemail regarding market trends,Real Estate Fund
87a3c3d3-eaa3-4b7c-891d-b8f81fcda8e5,2024-09-10,SalA011,Sales AM 1,Inbound Call,Analysis of Emerging Markets Fund,Real Estate Fund
fe7b102b-346d-494a-a3a6-0298f951c75f,2024-10-17,SalA011,Sales AM 1,Inbound Call,Strategy meeting regarding Global Equity,Fixed Income
3eb1e435-6fe1-4245-ac20-8e69e45dac67,2024-07-01,SalA011,Sales AM 1,Voicemail,Email follow-up on investment ideas,Fixed Income
770981d8-3f4c-47a5-beb0-b0135a971e1f,2024-06-12,SalA011,Sales AM 1,Meeting,Webinar feedback collection,Global Equity Fund
2902866d-42ce-4c33-ae8d-defa324cbb40,2024-12-31,SalA011,Sales AM 1,Email,Discussion on ESG strategies,ETF
9ada3d54-cc4d-45ce-a288-053c050cf66d,2024-06-27,SalA011,Sales AM 1,Email,Discussion on upcoming product launches,ESG
92ecdb20-cfb9-44a6-ac68-3790db7ade8e,2024-09-15,SalA011,Sales AM 1,Voicemail,Webinar feedback collection,ESG
32ee3e14-29db-4417-8b1f-43ae149119c1,2024-12-09,SalA011,Sales AM 1,Inbound Call,Normal phone conversation,Global Equity Fund
56437f1d-63f0-48b2-bd80-d53730f7b98e,2024-10-04,SalA011,Sales AM 1,Email,Normal phone conversation,Global Equity Fund
df4f14f1-2acb-4420-ba97-5c4777344c96,2024-11-10,SalA011,Sales AM 1,Outbound Call,Normal phone conversation,Global Equity Fund
212491f2-f154-4b74-99ae-463a54927643,2024-08-01,SalA011,Sales AM 1,Outbound Call,Email follow-up on investment ideas,ETF
